name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"80,000","45,000 kms",Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,"425,000",40 kms,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2018,Ask For Price,"22,000 kms",Petrol
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"325,000","28,000 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"575,000","36,000 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2015,Ask For Price,"59,000 kms",Diesel
Ford Figo,Ford,2012,"175,000","41,000 kms",Diesel
Hyundai Eon,Hyundai,2013,"190,000","25,000 kms",Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"830,000","24,530 kms",Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"250,000","60,000 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"182,000","60,000 kms",Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,"315,000","30,000 kms",Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"415,000","32,000 kms",Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015,"320,000","48,660 kms",Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"80,000","45,000 kms",Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,"425,000",40 kms,Diesel
Audi A8,Audi,2017,"1,000,000","4,000 kms",Petrol
Audi Q7,Audi,2014,"500,000","16,934 kms",Diesel
Mahindra Scorpio S10,Mahindra,2016,"350,000","43,000 kms",Diesel
Maruti Suzuki Alto 800,Maruti,2014,"160,000","35,550 kms",Petrol
Mahindra Scorpio S10,Mahindra,2016,"350,000","43,000 kms",Diesel
Mahindra Scorpio S10,Mahindra,2016,"310,000","39,522 kms",Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,"75,000","39,000 kms",Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"100,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"100,000","55,000 kms",Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"100,000","55,000 kms",Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,"190,000","72,000 kms",Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,"290,000","15,975 kms",Diesel
Maruti Suzuki Alto LX,Maruti,2008,"95,000","70,000 kms",Petrol
Mahindra Bolero DI,Mahindra,2017,"180,000","23,452 kms",Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"385,000","35,522 kms",Diesel
